Incremental transfer (MW),Branch flow (MVA),Branch flow (MVA) ,Bus voltage group
2000,168,131,0
2500,168,155,0
3000,168,179,0
3500,169,203,0
4000,170,228,0
4500,171,252,0
5000,173,277,0
5500,174,302,0
6000,176,327,0
6500,178,352,0
7000,181,378,0
7500,184,403,0
8000,188,428,0
8500,191,454,0
8750,194,467,0
8876,195,473,0
8938,195,476,0
8969,196,478,0
89768,196,478,0
0,195,66,0
500,201,70,0
1000,207,74,0
1500,212,79,0
2000,218,84,0
2500,224,90,0
3000,229,95,0
3500,235,101,0
4000,241,106,0
4500,246,112,0
5000,252,118,0
5500,257,124,0
6000,263,130,0
6500,269,137,0
7000,274,143,0
7500,280,150,0
8000,285,156,0
8500,290,162,0
9000,296,169,0
9500,301,175,0
10000,307,182,0
10500,312,189,0
11000,318,196,0
11500,323,203,0
12000,329,211,1
12500,335,218,1
13000,341,227,1
13500,347,235,1
14000,353,245,1
14250,356,250,1
14313,357,250,1
14344,357,249,1
14352,357,249,1
0,179,655,0
500,167,668,0
1000,155,681,0
1500,143,694,0
2000,132,707,0
2500,120,720,0
3000,109,734,0
3500,98,748,0
4000,87,761,0
4500,78,775,0
5000,69,789,0
5500,61,804,0
6000,56,818,0
6500,54,833,0
7000,54,848,0
7500,58,863,0
8000,64,879,0
8500,73,895,0
9000,83,912,0
9500,94,929,0
10000,105,946,0
10500,118,964,0
11000,131,983,0
11500,144,1003,0
12000,158,1023,0
12500,173,1045,0
13000,188,1068,0
13500,204,1093,0
14000,220,1123,0
14250,222,1147,0
14313,223,1160,0
14344,223,1168,0
14352,223,1170,0
0,179,545,0
500,167,557,0
1000,155,570,0
1500,143,582,0
2000,132,595,0
2500,120,608,0
3000,109,620,0
3500,98,633,0
4000,87,647,0
4500,78,660,0
5000,69,673,0
5500,61,686,0
6000,56,700,0
6500,54,714,0
7000,54,727,0
7500,58,741,0
8000,64,755,0
8500,73,770,0
9000,83,784,0
9500,94,799,0
10000,105,814,0
10500,118,829,0
11000,131,844,0
11500,144,860,0
12000,158,876,0
12500,173,893,0
13000,188,910,0
13500,204,929,0
14000,220,946,0
14250,222,952,1
14313,223,954,1
14344,223,954,1
14352,223,955,1
0,332,622,0
500,346,635,0
1000,360,649,0
1500,374,663,0
2000,388,677,0
2500,402,692,0
3000,417,706,0
3500,431,720,0
4000,445,734,0
4500,459,749,0
5000,474,763,0
5500,488,778,0
6000,502,792,0
6500,516,807,0
7000,530,821,0
7500,545,836,0
8000,559,851,0
8500,573,866,0
9000,588,881,0
9500,602,897,0
10000,616,912,0
10500,631,928,0
11000,645,944,0
11500,659,960,0
12000,674,976,0
12500,689,993,1
13000,703,1010,1
13500,718,1027,1
14000,733,1046,1
14250,742,1057,1
14313,745,1062,1
14344,746,1065,1
14352,747,1066,1
0,78,709,0
500,77,722,0
1000,77,735,0
1500,76,749,0
2000,76,763,0
2500,76,777,0
3000,76,791,0
3500,76,806,0
4000,76,821,0
4500,76,836,0
5000,77,851,0
5500,77,867,0
6000,78,882,0
6500,78,899,0
7000,79,915,0
7500,80,932,0
8000,81,950,0
8500,82,968,0
9000,84,987,0
9500,85,1006,0
10000,87,1026,0
10500,88,1047,0
11000,90,1069,0
11500,92,1092,0
12000,94,1117,0
12500,96,1143,0
13000,99,1171,0
13500,101,1202,0
14000,104,1236,0
14250,106,1262,0
14313,107,1275,0
14344,108,1284,0
14352,108,1287,0
0,353,577,0
500,363,590,0
1000,373,604,0
1500,383,617,0
2000,393,630,0
2500,403,643,0
3000,413,657,0
3500,423,670,0
4000,433,684,0
4500,443,698,0
5000,453,711,0
5500,463,725,0
6000,473,740,0
6500,483,754,0
7000,493,768,0
7500,504,783,0
8000,514,798,0
8500,524,813,0
9000,534,828,0
9500,544,844,0
10000,564,860,0
10500,574,876,0
11000,584,893,0
11500,584,910,0
12000,594,928,0
12500,604,947,0
13000,614,967,0
13500,625,987,0
14000,635,1010,0
14250,641,1025,0
14313,642,1032,0
14344,643,1036,0
14352,644,1037,0
0,153,204,0
500,129,180,0
1000,106,158,0
1500,84,135,0
2000,64,113,0
2500,47,92,0
3000,45,73,0
3500,57,59,0
4000,76,59,0
4500,97,70,0
5000,120,86,0
5500,143,106,0
6000,168,128,0
6500,192,151,0
7000,216,174,0
7500,241,198,0
8000,266,223,0
8500,291,247,0
9000,316,272,0
9500,342,297,0
10000,367,323,0
10500,393,348,0
11000,419,374,0
11500,444,400,0
12000,470,426,0
12500,497,452,1
13000,523,479,1
13500,550,506,1
14000,578,534,1
14250,592,549,1
14313,596,553,1
14344,598,555,1
14352,599,556,1
0,153,204,0
500,129,180,0
1000,106,158,0
1500,84,135,0
2000,64,113,0
2500,48,92,0
3000,45,73,0
3500,57,59,0
4000,76,59,0
4500,97,70,0
5000,120,86,0
5500,143,106,0
6000,168,128,0
6500,192,151,0
7000,216,174,0
7500,241,198,0
8000,266,223,0
8500,291,247,0
9000,317,272,0
9500,342,298,0
10000,367,323,0
10500,393,348,0
11000,419,374,0
11500,445,400,0
12000,471,426,0
12500,497,453,1
13000,524,479,1
13500,551,506,1
14000,578,534,1
14176,588,545,1
14220,591,548,1
14242,592,549,1
0,154,205,0
500,130,182,0
1000,108,159,0
1500,86,136,0
2000,66,115,0
2500,50,94,0
3000,43,76,0
3500,55,62,0
4000,74,57,0
4500,96,68,0
5000,119,84,0
5500,143,105,0
6000,167,127,0
6500,191,150,0
7000,216,173,0
7500,241,197,0
8000,266,222,0
8500,291,247,0
8750,303,259,0
8876,310,265,0
8938,313,268,0
8969,314,270,0
89768,315,270,0
0,60,285,0
500,76,264,0
1000,80,243,0
1500,120,223,0
2000,144,204,0
2500,168,187,0
3000,193,173,0
3500,219,161,0
4000,244,153,0
4500,270,149,0
5000,295,150,0
5500,321,155,0
6000,347,164,0
6500,373,177,0
7000,399,192,0
7500,426,210,0
8000,452,229,0
8500,479,250,0
9000,505,271,0
9500,532,294,0
10000,559,317,0
10500,586,340,0
11000,613,364,0
11500,641,388,1
12000,668,412,1
12500,697,437,1
13000,725,461,1
13500,754,486,1
14000,784,510,1
14250,789,523,1
14313,792,527,1
14344,794,529,1
14352,795,529,1
0,306,57,0
500,284,65,0
1000,262,81,0
1500,240,102,0
2000,220,125,0
2500,201,150,0
3000,185,175,0
3500,170,200,0
4000,159,226,0
4500,152,252,0
5000,149,279,0
5500,151,305,0
6000,158,332,0
6500,169,359,0
7000,183,386,0
7500,200,413,0
8000,220,441,0
8500,241,468,0
9000,263,496,0
9500,286,524,0
10000,310,552,0
10500,335,581,0
11000,360,609,0
11500,385,638,1
12000,411,668,1
12500,438,698,1
13000,464,728,1
13500,491,759,1
14000,518,792,1
14176,528,794,1
14220,531,797,1
14242,533,798,1
0,292,56,0
500,271,69,0
1000,250,88,0
1500,230,109,0
2000,211,131,0
2500,194,155,0
3000,179,179,0
3500,165,203,0
4000,155,228,0
4500,149,252,0
5000,146,277,0
5500,148,302,0
6000,154,327,0
6500,164,352,0
7000,177,378,0
7500,192,403,0
8000,209,428,0
8500,228,454,0
8750,238,467,0
8876,243,473,0
8938,246,476,0
8969,247,478,0
89768,247,478,0
0,153,351,0
500,129,327,0
1000,106,302,0
1500,84,278,0
2000,64,253,0
2500,48,228,0
3000,45,203,0
3500,57,178,0
4000,76,153,0
4500,97,128,0
5000,120,103,0
5500,143,78,0
6000,168,54,0
6500,192,35,0
7000,216,30,0
7500,241,44,0
8000,266,67,0
8500,291,91,0
9000,317,117,0
9500,342,144,0
10000,367,171,0
10500,393,198,0
11000,419,226,0
11500,445,254,0
12000,471,284,0
12500,497,313,0
13000,524,344,0
13500,551,376,1
14000,578,410,1
14176,588,424,1
14220,591,428,1
14242,592,431,1
0,154,352,0
500,130,327,0
1000,108,303,0
1500,86,278,0
2000,66,253,0
2500,50,229,0
3000,43,204,0
3500,55,179,0
4000,74,154,0
4500,96,129,0
5000,119,104,0
5500,143,78,0
6000,167,53,0
6500,191,34,0
7000,216,28,0
7500,241,42,0
8000,266,65,0
8500,291,90,0
8750,303,103,0
8876,310,109,0
8938,313,112,0
8969,314,114,0
89768,315,114,0
0,153,351,0
500,129,327,0
1000,106,302,0
1500,84,278,0
2000,64,253,0
2500,47,228,0
3000,45,203,0
3500,57,178,0
4000,76,153,0
4500,97,128,0
5000,120,103,0
5500,143,78,0
6000,168,54,0
6500,192,35,0
7000,216,30,0
7500,241,44,0
8000,266,67,0
8500,291,91,0
9000,316,117,0
9500,342,143,0
10000,367,170,0
10500,393,198,0
11000,419,226,0
11500,444,254,0
12000,470,283,0
12500,497,313,0
13000,523,343,0
13500,550,375,1
14000,578,409,1
14250,592,428,1
14313,596,435,1
14344,598,438,1
14352,599,439,1
0,152,152,0
500,151,151,0
1000,150,150,0
1500,149,149,0
2000,147,147,0
2500,145,145,0
3000,143,143,0
3500,141,141,0
4000,138,138,0
4500,136,136,0
5000,133,133,0
5500,130,130,0
6000,126,126,0
6500,123,123,0
7000,119,119,0
7500,115,115,0
8000,111,111,0
8500,106,106,0
9000,101,101,0
9500,95,95,0
10000,90,90,0
10500,84,84,0
11000,78,78,0
11500,71,71,0
12000,65,65,0
12500,59,59,0
13000,54,54,0
13500,51,51,0
14000,60,60,0
14250,72,72,0
14313,78,78,0
14344,82,82,0
14352,83,83,0
0,0,176,0
500,0,169,0
1000,0,162,0
1500,0,156,0
2000,0,151,0
2500,0,147,0
3000,0,144,0
3500,0,143,0
4000,0,144,0
4500,0,146,0
5000,0,150,0
5500,0,156,0
6000,0,163,0
6500,0,173,0
7000,0,183,0
7500,0,197,0
8000,0,213,0
8500,0,230,0
9000,0,248,0
9500,0,268,0
10000,0,289,0
10500,0,311,0
11000,0,335,0
11500,0,360,0
12000,0,388,0
12500,0,418,0
13000,0,0,0
13500,0,451,0
14000,0,529,0
14176,0,552,0
14220,0,564,0
14242,0,572,0
0,173,168,0
500,174,170,0
1000,175,173,0
1500,176,177,0
2000,177,184,0
2500,177,191,0
3000,177,201,0
3500,177,211,0
4000,176,222,0
4500,176,234,0
5000,175,248,0
5500,174,262,0
6000,172,277,0
6500,170,293,0
7000,168,309,0
7500,166,326,0
8000,163,345,0
8500,160,364,0
8750,159,374,0
8876,158,379,0
8938,157,382,0
8969,157,383,0
89768,156,383,0
0,182,60,0
